,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
418,Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-181,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,29,46 kg,Specialty Coffee Association,2016,"January 30th, 2017",Troy Quimby,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,Green,0,"January 30th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1900,1900,1900
419,Arabica,rodrigo soto,Costa Rica,coopellanobonito,s16292,coocafe r.l,5-139-0050,panamerican coffee trading,,tarrazu,Coopellanobonito,275,69 kg,Specialty Coffee Association of Costa Rica,2015,"September 20th, 2016",Rodrigo Soto,,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11,0,0,,0,"September 20th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,NA,NA,NA
423,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-0318,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN,304,35 kg,Almacafé,2015/2016,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0,0,0,Green,2,"November 26th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
427,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-1818,ecom cca sa,1483,eje cafetero,,250,70 kg,Almacafé,2014,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,0,0,Green,0,"June 24th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1483,1483,1483
429,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1750 msnm,huila,,275,70 kg,Almacafé,2013,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,Green,1,"August 2nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
436,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0089,exportadora de cafe condor s.a,175,huila,,250,70 kg,Almacafé,2012,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12,0,0,Green,1,"February 21st, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,175,175,175
437,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0661,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,la plata,La Plata,175,70 kg,Almacafé,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11,0,0,Green,0,"February 8th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
438,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0205,,1600-1800msnm,huila,,250,70 kg,Almacafé,1T/2011,"June 14th, 2011",Exportadora de Cafe Condor S.A,,,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25,0.08,0,0,,0,"June 13th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1800,1700
439,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0107,,1880 msnm,cauca,,250,70 kg,Almacafé,4t/2010,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13,0,0,,1,"February 22nd, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1880,1880,1880
440,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindio,3-068-0108,,1800 m.s.n.m,cundinamarca,Exportadora de Café Cóndor S.A,250,70 kg,Almacafé,4T/2010,"January 17th, 2011",Exportadora de Cafe Condor S.A,,,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04,0,0,,1,"January 17th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
445,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,Oriental Paris Natural Coffee,yes,,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",1,2 kg,Specialty Coffee Association,2017,"May 8th, 2017","Sunvirtue Co., Ltd.",Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07,0,0,None,0,"May 8th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1550,1550,1550
447,Arabica,cadexsa,Honduras,bethel,427,dry mill,13-63-214,cadexsa,1450,marcala,JOSE OMAR ACOSTA,275,69 kg,Instituto Hondureño del Café,2016,"May 2nd, 2016",CADEXSA,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,1,Blue-Green,1,"May 2nd, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1450,1450,1450
450,Arabica,consejo salvadoreño del café,El Salvador,agua caliente,1,agua caliente,9-392-68,consejo salvadoreño del café,1350,apaneca,Ecom Agroindustrial Corp. Ltd.,275,69 kg,Salvadoran Coffee Council,2016,"March 29th, 2016",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0,0,0,Green,0,"March 29th, 2017",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1350,1350,1350
453,Arabica,taylor winch (coffee) ltd.,Kenya,,,,37-0843-3305,taylor winch (coffee) ltd,approx.1'500 metres a.s.l.,kenya,,300,2 kg,Kenya Coffee Traders Association,2014,"July 3rd, 2015",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0,Bluish-Green,1,"July 2nd, 2016",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1,500,250.5
456,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0119,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,232,70 kg,Almacafé,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0,0,0,,4,"November 5th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
458,Arabica,cafe politico,Colombia,unkown,,unkown,unkown,green mountain coffee,,,unkown,1,4 lbs,Specialty Coffee Association,2014,"August 25th, 2014",Cafe Politico,,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11,10,0,Green,3,"August 25th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
459,Arabica,mayra yessenia torres,Honduras,el cerron,,rio hamaca,13-01-2369,"olam honduras, s.a.",1450 msnn,san marcos,Nelson Melgar Melgar,275,1 kg,Instituto Hondureño del Café,2013,"April 12th, 2014",Mayra Yessenia Torres,Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1,0,0,Green,5,"April 12th, 2015",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1450,1450,1450
460,Arabica,,Honduras,los hicaques,,cigrah sps,13-111-193,cigrah,1350,comayagua,Reynerio Zepeda,275,1 kg,Instituto Hondureño del Café,2014/2015,"April 8th, 2014",,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,Green,3,"April 8th, 2015",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350,1350,1350
468,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-1691,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,275,70 kg,Almacafé,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17,0.11,1,0,Green,2,"August 31st, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
470,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0140,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2012,"June 8th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17,0.11,0,0,Blue-Green,0,"June 8th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
477,Arabica,the coffee source inc.,El Salvador,several,,la majada cooperative,9/29/1990,,1200 mts,santa ana,Several,250,69 kg,Specialty Coffee Association,2010-2011,"August 23rd, 2011",The Coffee Source Inc.,,,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,83.17,0.14,0,0,,3,"August 22nd, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
479,Arabica,carcafe ltda ci,Colombia,,3-59-1694,bogota,3-59-1694,carcafe ltda,1799,cundinamarca,Orlando Moreno / Willson Sanchez,275,70 kg,Almacafé,2016,"February 20th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08,0,0,1,Green,4,"February 20th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1799,1799,1799
480,Arabica,racafe & cia s.c.a,Colombia,,3-37-0278,bachue,3-37-0278,racafe & cia s.c.a,,huila,La Plata,275,70 kg,Almacafé,2016,"January 10th, 2017",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08,0,1,2,Green,5,"January 10th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
486,Arabica,eric thormaehlen,Costa Rica,various,,coricafe sa,05-0048-0171,coricafe s.a.,1200-1400,central valley,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2014,"July 15th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,83.08,0.1,0,0,Green,3,"July 15th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200,1400,1300
493,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-2781,,de 1.600 a 1.950 msn,huila,"Grupo Monserrate, La Plata",275,70 kg,Almacafé,Mayo a Julio,"July 29th, 2011",Racafe & Cia S.C.A,Caturra,,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08,0.01,0,0,,0,"July 28th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
494,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0129,,1880 msnm,cauca,,250,70 kg,Almacafé,47/2010,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08,0.08,1,0,,3,"February 22nd, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1880,1880,1880
502,Arabica,carcafe ltda ci,Colombia,,3-59-1773,neiva,3-59-1773,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,25,70 kg,Almacafé,2016,"February 11th, 2016",CARCAFE LTDA CI,,,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,83,0.11,0,0,Green,4,"February 10th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
503,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,,apollo estate,,"sunvirtue co., ltd.",1550,vietnam cau dat,"Yeh, Li Chuan.",2,2 kg,Specialty Coffee Association,2014,"December 28th, 2015","Sunvirtue Co., Ltd.",Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,83,0,0,0,Green,0,"December 27th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1550,1550,1550
512,Arabica,eric thormaehlen,Costa Rica,several,,several,5-0048-0022,coricafe s.a.,1100-1300,central valley,CORICAFE BLEND,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"February 14th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,83,0.11,0,0,Green,3,"February 14th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1100,1300,1200
514,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0281,racafe & cia s.c.a,1600 - 1950 msnm,huila,La Plata,120,70 kg,Almacafé,2013,"November 7th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,83,0.11,1,0,Green,1,"November 7th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
515,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0248,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2013,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83,0,0,0,Green,0,"August 2nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
516,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-1150,carcafe ltda,1000 msnm,pitalito,COFFEE COMPANY / CAFECOL,250,70 kg,Almacafé,2013,"March 15th, 2013",CARCAFE LTDA CI,Caturra,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,83,0.11,0,0,Green,1,"March 15th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1000,1000,1000
517,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-1327,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTOZ / HIPOLITO TORRES,250,70 kg,Almacafé,2013,"April 26th, 2013",CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,83,0,0,0,Green,2,"April 26th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1000,1000,1000
518,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0021,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,huila,LA PLATA,275,70 kg,Almacafé,2012,"October 23rd, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,83,0.11,1,0,Green,2,"October 23rd, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
522,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,,exportadora de cafe condor s.a,,,Exportadora Condor,250,70 kg,Almacafé,2012,"May 22nd, 2012",Exportadora de Cafe Condor S.A,Arusha,Natural / Dry,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,83,0,1,0,,4,"May 22nd, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
523,Arabica,exportadora de cafe condor s.a,Colombia,various,,trilladora boananza,3-68-0124,exportadora de cafe condor s.a,1500-1750 msnm,huila,varios,250,70 kg,Almacafé,2012,"May 11th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,83,0,0,0,Green,4,"May 11th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1500,1750,1625
524,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0141,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2012,"June 8th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,83,0.11,0,0,Green,0,"June 8th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
526,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0170,c.i.racafe & cia s.c.a,1600 - 1950 msnm,la plata,LA PLATA,121,1 kg,Almacafé,2011,"December 2nd, 2011",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,83,0.12,0,0,Bluish-Green,0,"December 1st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
528,Arabica,racafe & cia s.c.a,Colombia,,,popayán,Mar-37,,1050 - 1850 msnm,cauca,,300,70 kg,Almacafé,Abril - Julio,"May 12th, 2011",Racafe & Cia S.C.A,,,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83,0.08,0,0,,1,"May 11th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1050,1850,1450
531,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0140,,1800 msnm,huila,varios,250,70 kg,Almacafé,4t/2011,"February 1st, 2011",Exportadora de Cafe Condor S.A,,,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83,0.06,0,0,,2,"February 1st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,1800,1800
532,Arabica,grounds for health admin,Nicaragua,santa rosa,,beneficio atlantic sebaco,1-053-0222,,,matagalpa,Juan AugustinPalacio,2,6,Specialty Coffee Association,2009-2010,"May 31st, 2010",Grounds for Health Admin,Caturra,,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,83,0.07,0,0,,0,"May 31st, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
535,Arabica,consejo salvadoreño del café,El Salvador,santa josefita,1-198,beneficio cuzcachapa,09-030-273,soc. coop. cuzcachapa de r.l.,1350,apaneca,"Balcanes Coffee Estates, S.A. de C.V.",100,69 kg,Salvadoran Coffee Council,2017,"August 28th, 2017",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,82.92,0,0,0,Green,1,"August 28th, 2018",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1350,1350,1350
536,Arabica,racafe & cia s.c.a,Colombia,,3-37-4468,bogota,3-37-4468,racafe & cia s.c.a,1500,guayata,,129,70 kg,Almacafé,2017,"July 7th, 2017",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,82.92,0.11,0,0,Green,1,"July 7th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1500,1500,1500
550,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-2864,racafe & cia s.c.a,1800 - 2000,huila,,250,70 kg,Almacafé,2013,"September 13th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,82.92,0.11,0,0,Green,2,"September 13th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800,2000,1900
551,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0145,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,Almacafé,2013,"March 20th, 2013",Exportadora de Cafe Condor S.A,Caturra,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,82.92,0,0,0,Bluish-Green,0,"March 20th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
553,Arabica,olam agro colombia,Colombia,,,trilladora europa,3-259.0267,olam international ltd,1450,antioquia,,250,70 kg,Almacafé,2013,"January 22nd, 2013",Olam Agro Colombia,Other,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,82.92,0.11,3,0,Green,5,"January 22nd, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1450,1450,1450
555,Arabica,royal base corporation,Vietnam,"apollo co., ltd.",,"apollo co., ltd.",,royal base corporation,1040m,don duong,"Apollo Co., Ltd.",1,2 kg,Specialty Coffee Association,2012,"July 20th, 2012",Royal Base Corporation,Other,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,82.92,0,0,0,None,17,"July 20th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1040,1040,1040
558,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-2759,,1050 - 1850 msnm,cauca,,250,70 kg,Almacafé,Abril - Julio /2011,"July 19th, 2011",Racafe & Cia S.C.A,,,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92,0.15,0,0,,0,"July 18th, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1050,1850,1450
560,Arabica,jungle estate,Kenya,jungle estate,01NG011,nkg mills,,keremara limited,1754,nyeri,KEREMARA LIMITED,27,50 kg,Kenya Coffee Traders Association,2017,"October 13th, 2017",Jungle Estate,SL28,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,82.83,0.1,0,0,Green,3,"October 13th, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1754,1754,1754
563,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,1,santa adelaida,09-0488-1,consejo salvadoreño del café,1250,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2016,"April 8th, 2016",Consejo Salvadoreño del Café,Pacas,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,82.83,0,0,0,Green,4,"April 8th, 2017",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1250,1250,1250
564,Arabica,samuel muhirwa,Rwanda,gicumbi,102,coffee business center (cbc) dry mill,,bufcoffee ltd,1900,gicumbi,Bufcoffee_Gicumbi,150,60 kg,Specialty Coffee Association,2015,"March 25th, 2016",Samuel Muhirwa,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.83,0.11,0,0,Bluish-Green,0,"March 25th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1900,1900,1900
565,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,,apollo estate,,"sunvirtue co., ltd.",1040,vietnam tutra,"Yeh, Li Chuan",3,2 kg,Specialty Coffee Association,2014,"January 19th, 2016","Sunvirtue Co., Ltd.",Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,82.83,0.11,11,0,Green,0,"January 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1040,1040,1040
